"L0000_resource_service_Tracebility_Activation_Date" , "ANNOTATE ME!"
"L0000_resource_service_Tracebility_Activation_ProviderID" , "ANNOTATE ME!"
"L0000_resource_service_Tracebility_Activation_MafVersion_OpenMafVersion" , "ANNOTATE ME!"
"L0000_resource_service_Tracebility_Activation_MafVersion_MafMedicalVersion" , "ANNOTATE ME!"
"L0000_resource_service_Tracebility_Activation_MafVersion_LhpBuilderVersion" , "ANNOTATE ME!"
"L0000_resource_service_Throughput" , "ANNOTATE ME!"
"L0000_resource_service_Throughput_Benchmark1_BenchmarkVme" , "ANNOTATE ME!"
"L0000_resource_service_Throughput_Benchmark1_BenchmarkSize" , "ANNOTATE ME!"
"L0000_resource_service_Throughput_Benchmark1_ExecutionTime" , "ANNOTATE ME!"
"L0000_resource_service_Validation_Benchmark1_BenchmarkDescriptionURI" , "ANNOTATE ME!"
"L0000_resource_service_Validation_Benchmark1_BenchmarkInput_InputVme1" , "ANNOTATE ME!"
"L0000_resource_service_Validation_Benchmark1_BenchmarkInput_BenchmarkParameters" , "ANNOTATE ME!"
"L0000_resource_service_Validation_Benchmark1_BenchmarkOuput_OutputVme1" , "ANNOTATE ME!"
"L0000_resource_service_Validation_Benchmark1_BenchmarkAccuracyIndex" , "ANNOTATE ME!"
"L0000_resource_Documentation" , "ANNOTATE ME!"
"L0000_resource_Pricing_Quotation1_GroupID" , "ANNOTATE ME!"
"L0000_resource_Pricing_Quotation1_Price" , "ANNOTATE ME!"
"L0000_resource_Pricing_Quotation1_Policy" , "ANNOTATE ME!"
"L0000_resource_Status" , "ANNOTATE ME!"
